"MonitoringLocationIdentifier","OrganizationIdentifier.x","MonitoringLocationName","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","OrganizationIdentifier.y","ActivityStartDate","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","TotalN","Year","Month","Date"
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1989-06-28","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",6.6,"mg/l NO3","",NA,"",1.49094,1989,6,1989-06-28
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2016-08-22","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",1.1,"mg/l","",NA,"",1.1,2016,8,2016-08-22
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1989-04-26","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",4,"mg/l NO3","",NA,"",0.9036,1989,4,1989-04-26
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1989-04-26","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.9,"mg/l","",NA,"",0.9,1989,4,1989-04-26
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2012-10-03","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.82,"mg/l","",NA,"",0.82,2012,10,2012-10-03
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2011-02-15","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",1,"mg/l","",NA,"",1,2011,2,2011-02-15
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1989-07-24","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",1.5,"mg/l","",NA,"",1.5,1989,7,1989-07-24
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2011-06-30","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.77,"mg/l","",NA,"",0.77,2011,6,2011-06-30
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2014-06-19","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.88,"mg/l","",NA,"",0.88,2014,6,2014-06-19
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2007-06-04","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.93,"mg/l","",NA,"",0.93,2007,6,2007-06-04
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2005-10-12","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.42,"mg/l","",NA,"",0.42,2005,10,2005-10-12
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1994-06-20","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",1,"mg/l","",NA,"",1,1994,6,1994-06-20
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1989-11-16","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.6,"mg/l","",NA,"",0.6,1989,11,1989-11-16
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2013-10-24","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.36,"mg/l","",NA,"",0.36,2013,10,2013-10-24
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2014-02-06","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.82,"mg/l","",NA,"",0.82,2014,2,2014-02-06
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1989-02-16","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.5,"mg/l","",NA,"",0.5,1989,2,1989-02-16
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2008-04-02","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.68,"mg/l","",NA,"",0.68,2008,4,2008-04-02
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2010-08-04","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.64,"mg/l","",NA,"",0.64,2010,8,2010-08-04
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1997-03-11","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.9,"mg/l","",NA,"",0.9,1997,3,1997-03-11
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2017-08-11","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.68,"mg/l","",NA,"",0.68,2017,8,2017-08-11
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2003-03-20","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",1.2,"mg/l","",NA,"",1.2,2003,3,2003-03-20
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2004-10-18","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",1.2,"mg/l","",NA,"",1.2,2004,10,2004-10-18
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2017-02-16","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.98,"mg/l","",NA,"",0.98,2017,2,2017-02-16
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2017-04-03","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.54,"mg/l","",NA,"",0.54,2017,4,2017-04-03
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2010-02-03","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.74,"mg/l","",NA,"",0.74,2010,2,2010-02-03
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2013-02-07","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",1.2,"mg/l","",NA,"",1.2,2013,2,2013-02-07
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2013-04-25","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",1.1,"mg/l","",NA,"",1.1,2013,4,2013-04-25
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2015-12-07","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",1.2,"mg/l","",NA,"",1.2,2015,12,2015-12-07
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1988-12-16","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",4.4,"mg/l NO3","",NA,"",0.99396,1988,12,1988-12-16
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2003-08-21","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.77,"mg/l","",NA,"",0.77,2003,8,2003-08-21
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2012-04-25","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",1.1,"mg/l","",NA,"",1.1,2012,4,2012-04-25
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1989-02-16","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",2.2,"mg/l NO3","",NA,"",0.49698,1989,2,1989-02-16
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1989-05-23","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",4.4,"mg/l NO3","",NA,"",0.99396,1989,5,1989-05-23
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1994-05-25","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.97,"mg/l","",NA,"",0.97,1994,5,1994-05-25
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1988-10-25","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",4.9,"mg/l NO3","",NA,"",1.10691,1988,10,1988-10-25
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2005-02-08","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.78,"mg/l","",NA,"",0.78,2005,2,2005-02-08
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2005-04-13","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.84,"mg/l","",NA,"",0.84,2005,4,2005-04-13
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2009-06-15","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",1.2,"mg/l","",NA,"",1.2,2009,6,2009-06-15
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2015-03-02","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.93,"mg/l","",NA,"",0.93,2015,3,2015-03-02
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2001-08-27","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.49,"mg/l","",NA,"",0.49,2001,8,2001-08-27
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1994-09-22","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.44,"mg/l","",NA,"",0.44,1994,9,1994-09-22
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1994-10-24","Not Detected","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",NA,"","Historical Lower Reporting Limit",0.65,"mg/l",0.325,1994,10,1994-10-24
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2009-04-27","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",1,"mg/l","",NA,"",1,2009,4,2009-04-27
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1994-04-07","Not Detected","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",NA,"","Historical Lower Reporting Limit",0.82,"mg/l",0.41,1994,4,1994-04-07
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2014-05-22","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",1.14,"mg/l","Long Term Method Detection Level",0.05,"mg/l",1.14,2014,5,2014-05-22
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2005-12-13","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",1.2,"mg/l","",NA,"",1.2,2005,12,2005-12-13
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1990-04-30","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",4.4,"mg/l NO3","",NA,"",0.99396,1990,4,1990-04-30
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2008-08-04","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.62,"mg/l","",NA,"",0.62,2008,8,2008-08-04
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2010-04-01","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.74,"mg/l","",NA,"",0.74,2010,4,2010-04-01
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1991-09-19","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.48,"mg/l","",NA,"",0.48,1991,9,1991-09-19
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1994-11-21","Not Detected","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",NA,"","Historical Lower Reporting Limit",0.35,"mg/l",0.175,1994,11,1994-11-21
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2006-10-02","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.32,"mg/l","",NA,"",0.32,2006,10,2006-10-02
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1994-07-19","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.48,"mg/l","",NA,"",0.48,1994,7,1994-07-19
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2014-05-27","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",1.15,"mg/l","Long Term Method Detection Level",0.05,"mg/l",1.15,2014,5,2014-05-27
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1989-10-12","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",6.2,"mg/l NO3","",NA,"",1.40058,1989,10,1989-10-12
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2004-04-01","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",1.5,"mg/l","",NA,"",1.5,2004,4,2004-04-01
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2008-02-06","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.73,"mg/l","",NA,"",0.73,2008,2,2008-02-06
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2002-06-20","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.78,"mg/l","",NA,"",0.78,2002,6,2002-06-20
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2000-06-22","Not Detected","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",NA,"","Historical Lower Reporting Limit",0.57,"mg/l",0.285,2000,6,2000-06-22
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1993-10-06","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.51,"mg/l","",NA,"",0.51,1993,10,1993-10-06
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2014-12-10","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",2.7,"mg/l","",NA,"",2.7,2014,12,2014-12-10
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2015-06-01","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",1.1,"mg/l","",NA,"",1.1,2015,6,2015-06-01
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2015-04-02","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.75,"mg/l","",NA,"",0.75,2015,4,2015-04-02
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2014-04-21","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.7,"mg/l","",NA,"",0.7,2014,4,2014-04-21
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2011-12-09","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.76,"mg/l","",NA,"",0.76,2011,12,2011-12-09
