OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-NC,USGS North Carolina Water Science Center,USGS-0209782609,"WHITE OAK CR AT MOUTH NEAR GREEN LEVEL, NC",Stream,,03030002,11.9,sq mi,,,35.7602778,-78.9202778,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,236.14,feet,.20,feet,Differentially corrected Global Positioning System.,NAVD88,US,37,183,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209791010,"JORDAN LK, WHITE OAK CR ARM BL SR1008 AT BELLS, NC","Lake, Reservoir, Impoundment",,03030002,26.57,sq mi,,,35.7488889,-79.0094444,24000,1,seconds,Interpolated from Digital MAP.,NAD83,216,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,37,037,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209799150,"B.E. JORDAN LAKE AB US HWY 64 AT WILSONVILLE, NC","Lake, Reservoir, Impoundment",,03030002,,,,,35.7416667,-79.0191667,,1,seconds,Reported.,NAD83,,,,,,,US,37,037,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209801100,"B.E. JORDAN LK AT BELLS LANDNG NR GRIFFINS XRDS,NC","Lake, Reservoir, Impoundment",,03030002,,,,,35.7275,-79.0427778,,1,seconds,Reported.,NAD83,,,,,,,US,37,037,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02098198,"HAW R BELOW B. EVERETT JORDAN DAM NR MONCURE, NC",Stream,,03030002,1689,sq mi,,,35.6494444,-79.0655556,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,155,feet,1,feet,Reported method of determination.,NGVD29,US,37,037,,,,,,,,,NWIS
21NC01WQ,NCDENR-DWQ,21NC01WQ-B0040000,HAW RIV AT SR 2109 NR OAK RIDGE,River/Stream,HAW RIV AT SR 2109 NR OAK RIDGE,03030002,,,,,36.2133,-79.9562,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,081,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B0160000,LITTLE TROUBLESOME CRK AT SR 2600 NR REIDSVILLE,River/Stream,LITTLE TROUBLESOME CRK AT SR 2600 NR REIDSVILLE,03030002,,,,,36.2826,-79.6116,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,157,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B0210000,HAW RIV AT SR 1561 NR ALTAMAHAW,River/Stream,HAW RIV AT SR 1561 NR ALTAMAHAW,03030002,,,,,36.1786,-79.5042,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,001,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B0540000,N BUFFALO CRK AT SR 2832 NR GREENSBORO,River/Stream,N BUFFALO CRK AT SR 2832 NR GREENSBORO,03030002,,,,,36.1199,-79.7082,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,081,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B0750000,S BUFFALO CRK AT SR 2821 AT MCLEANSVILLE,River/Stream,S BUFFALO CRK AT SR 2821 AT MCLEANSVILLE,03030002,,,,,36.1128,-79.6718,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,081,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B0840000,REEDY FORK AT NC 87 AT OSSIPEE,River/Stream,REEDY FORK AT NC 87 AT OSSIPEE,03030002,,,,,36.173,-79.5103,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,001,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B1140000,HAW RIV AT HWY 49N AT HAW RIVER,River/Stream,HAW RIV AT HWY 49N AT HAW RIVER,03030002,,,,,36.0889,-79.3682,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,001,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B1960000,ALAMANCE CRK AT SR 2116 AT SWEPSONSVILLE,River/Stream,ALAMANCE CRK AT SR 2116 AT SWEPSONSVILLE,03030002,,,,,36.0177,-79.367,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,001,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B2000000,HAW RIV AT SR 1005 NR SAXAPAHAW,River/Stream,HAW RIV AT SR 1005 NR SAXAPAHAW,03030002,,,,,35.8953,-79.2585,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,001,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B2100000,HAW RIV AT SR 1713 NR BYNUM,River/Stream,HAW RIV AT SR 1713 NR BYNUM,03030002,,,,,35.7717,-79.145,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B2140000,HAW RIV AT BYNUM,River/Stream,HAW RIV AT BYNUM,03030002,,,,,35.763,-79.134,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B2235000,HAW RIV AT SR 1943,River/Stream,HAW RIV AT SR 1943,03030002,,,,,35.706,-79.085,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B2450000,ROBESON CRK AT SR 1943 NR HANKS CHAPEL,Reservoir,ROBESON CRK AT SR 1943 NR HANKS CHAPEL,03030002,,,,,35.7029,-79.1037,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B2930000,NEW HOPE CRK AT SR 2220 NR BLANDS,River/Stream,NEW HOPE CRK AT SR 2220 NR BLANDS,03030002,,,,,35.942,-78.976,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,063,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B3030000,THIRD FORK CRK NR BLANDS,River/Stream,THIRD FORK CRK NR BLANDS,03030002,,,,,35.911,-78.961,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,063,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B3040000,NEW HOPE CRK AT SR 1107 NR BLANDS,River/Stream,NEW HOPE CRK AT SR 1107 NR BLANDS,03030002,,,,,35.8847,-78.9656,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,063,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B3660000,NORTHEAST CRK AT SR 1100 NR NELSON,River/Stream,NORTHEAST CRK AT SR 1100 NR NELSON,03030002,,,,,35.8724,-78.9132,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,063,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B3900000,MORGAN CRK AT SR 1726 NR FARRINGTON,River/Stream,MORGAN CRK AT SR 1726 NR FARRINGTON,03030002,,,,,35.8611,-79.01,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B3955000,NEW HOPE RIV AT SR 1008,River/Stream,NEW HOPE RIV AT SR 1008,03030002,,,,,35.795,-79.01,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B3970000,WHITE OAK CRK AT SR 1008,River/Stream,WHITE OAK CRK AT SR 1008,03030002,,,,,35.75,-79.006,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B4000000,BEAVER CRK 1008,River/Stream,BEAVER CRK 1008,03030002,,,,,35.7,-79.018,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B4021000,NEW HOPE RIV AT SR 1700,River/Stream,NEW HOPE RIV AT SR 1700,03030002,,,,,35.694,-79.044,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B4050000,HAW RIV BELOW JORDAN DAM NR MONCURE,River/Stream,HAW RIV BELOW JORDAN DAM NR MONCURE,03030002,,,,,35.6534,-79.0673,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B6060000,HAW RIV AT SR 1011,River/Stream,HAW RIV AT SR 1011,03030002,,,,,35.634,-79.057,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NC02WQ,NCDENR-DWQ (2nd),21NC02WQ-B2100000,HAW RIV AT SR 1713 NR BYNUM,River/Stream,,03030002,,,,,35.77165,-79.14497,24000,,,Interpolation-Map,NAD83,0,ft,,,,Unknown,US,37,037,,,,,,,,,STORET
21NC02WQ,NCDENR-DWQ (2nd),21NC02WQ-B3040000,NEW HOPE CRK AT SR 1107 NR BLANDS,River/Stream,,03030002,,,,,35.88474,-78.96563,24000,,,Interpolation-Map,NAD83,0,ft,,,,Unknown,US,37,063,,,,,,,,,STORET
21NC02WQ,NCDENR-DWQ (2nd),21NC02WQ-B3660000,NORTHEAST CRK AT SR 1100 NR NELSON,River/Stream,,03030002,,,,,35.87243,-78.91322,24000,,,Interpolation-Map,NAD83,0,ft,,,,Unknown,US,37,063,,,,,,,,,STORET
21NC02WQ,NCDENR-DWQ (2nd),21NC02WQ-B3900000,MORGAN CRK AT SR 1726 NR FARRINGTON,River/Stream,,03030002,,,,,35.86115,-79.01,24000,,,Interpolation-Map,NAD83,0,ft,,,,Unknown,US,37,037,,,,,,,,,STORET
21NC03WQ,NCDENR-DWQ WQX,21NC03WQ-B2100000,HAW RIV AT SR 1713 NR BYNUM,River/Stream,,03030002,,,,,35.77165,-79.14497,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NC03WQ,NCDENR-DWQ WQX,21NC03WQ-B3040000,NEW HOPE CRK AT SR 1107 NR BLANDS,River/Stream,,03030002,,,,,35.88474,-78.96563,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,063,,,,,,,,,STORET
21NC03WQ,NCDENR-DWQ WQX,21NC03WQ-B3660000,NORTHEAST CRK AT SR 1100 NR NELSON,River/Stream,,03030002,,,,,35.87243,-78.91322,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,063,,,,,,,,,STORET
21NC03WQ,NCDENR-DWQ WQX,21NC03WQ-B3900000,MORGAN CRK AT SR 1726 NR FARRINGTON,River/Stream,,03030002,,,,,35.86115,-79.01,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NC03WQ,NCDENR-DWQ WQX,21NC03WQ-CPF055C,JORDAN LAKE,Lake,,03030002,,,,,35.69131,-79.07905,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NC03WQ,NCDENR-DWQ WQX,21NC03WQ-CPF055D,JORDAN LAKE,Lake,,03030002,,,,,35.672503,-79.077189,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NC03WQ,NCDENR-DWQ WQX,21NC03WQ-CPF055E,JORDAN LAKE,Lake,,03030002,,,,,35.65995,-79.07005,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NC03WQ,NCDENR-DWQ WQX,21NC03WQ-CPF081A1C,JORDAN LAKE,Lake,,03030002,,,,,35.81622,-78.98683,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NC03WQ,NCDENR-DWQ WQX,21NC03WQ-CPF086C,JORDAN LAKE,Lake,,03030002,,,,,35.82151,-78.99738,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NC03WQ,NCDENR-DWQ WQX,21NC03WQ-CPF086CUPS,JORDAN LAKE,Lake,,03030002,,,,,35.837,-79.001,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NC03WQ,NCDENR-DWQ WQX,21NC03WQ-CPF086F,JORDAN LAKE,Lake,,03030002,,,,,35.79494,-79.00758,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NC03WQ,NCDENR-DWQ WQX,21NC03WQ-CPF087B,JORDAN LAKE,Lake,,03030002,,,,,35.78903,-79.02059,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NC03WQ,NCDENR-DWQ WQX,21NC03WQ-CPF087B3,JORDAN LAKE,Lake,,03030002,,,,,35.76522,-79.02596,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NC03WQ,NCDENR-DWQ WQX,21NC03WQ-CPF087D,JORDAN LAKE,Lake,,03030002,,,,,35.7384,-79.02432,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NC03WQ,NCDENR-DWQ WQX,21NC03WQ-CPF08801A,JORDAN LAKE,Lake,,03030002,,,,,35.73506,-79.02472,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NC03WQ,NCDENR-DWQ WQX,21NC03WQ-CPF0880A,JORDAN LAKE,Lake,,03030002,,,,,35.69647,-79.04356,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NC03WQ,NCDENR-DWQ WQX,21NC03WQ-CPF0880Aa,JORDAN LAKE,Lake,,03030002,,,,,35.713,-79.044,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NC03WQ,NCDENR-DWQ WQX,21NC03WQ-CPF0880Ab,JORDAN LAKE,Lake,,03030002,,,,,35.712,-79.038,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NC03WQ,NCDENR-DWQ WQX,21NC03WQ-CPF0880Ac,JORDAN LAKE,Lake,,03030002,,,,,35.71,-79.031,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-B0050000,Haw Riv at US 29 Bus near Benaja,River/Stream,,03030002,,,,,36.2652,-79.6523,,,,GPS-Unspecified,NAD83,,,,,,,US,37,157,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-B0070010,Troublesome Crk at US 29 Bus near Reidsville,River/Stream,,03030002,,,,,36.2768,-79.6499,,,,GPS-Unspecified,NAD83,,,,,,,US,37,157,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-B0170000,Haw Riv at SR 2620 High Rock Rd near Williamsburg,River/Stream,,03030002,,,,,36.2514,-79.5647,,,,GPS-Unspecified,NAD83,,,,,,,US,37,157,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-B0400000,Reedy Fork at SR 2719 High Rock Rd near Monticello,River/Stream,,03030002,,,,,36.1778,-79.6177,,,,GPS-Unspecified,NAD83,,,,,,,US,37,081,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-B0480050,N Buffalo Crk at N Buffalo Crk WWTP Influent Conduit Pier at Greensboro,River/Stream,,03030002,,,,,36.1074,-79.7502,,,,GPS-Unspecified,NAD83,,,,,,,US,37,081,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-B0540050,N Buffalo Crk at SR 2770 Huffine Mill Rd near McLeansville,River/Stream,,03030002,,,,,36.1299,-79.6626,,,,GPS-Unspecified,NAD83,,,,,,,US,37,081,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-B0670000,S Buffalo Crk at SR 3000 McConnell Rd near Greensboro,River/Stream,,03030002,,,,,36.0598,-79.7256,,,,GPS-Unspecified,NAD83,,,,,,,US,37,081,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-B0750000,S Buffalo Crk at SR 2821 Harvest Rd at McLeansville,River/Stream,,03030002,,,,,36.1128,-79.6718,,,,GPS-Unspecified,NAD83,,,,,,,US,37,081,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-B0850000,Haw Riv at SR 1530 Gerringer Mill Rd near Ossipee,River/Stream,,03030002,,,,,36.1531,-79.4894,,,,GPS-Unspecified,NAD83,,,,,,,US,37,001,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-B1200000,Haw Riv at NC 54 near Graham,River/Stream,,03030002,,,,,36.0481,-79.3667,,,,GPS-Unspecified,NAD83,,,,,,,US,37,001,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-B1380000,Moadams Crk at SR 1940 Gibson Rd near Florence Town,River/Stream,,03030002,,,,,36.0891,-79.3074,,,,GPS-Unspecified,NAD83,,,,,,,US,37,001,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-B1440000,Haw Riv at SR 2158 Swepsonville Rd near Swepsonville,River/Stream,,03030002,,,,,36.0256,-79.3682,,,,GPS-Unspecified,NAD83,,,,,,,US,37,001,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-B1940000,Big Alamance Crk at NC 87 near Swepsonville,River/Stream,,03030002,,,,,36.0242,-79.3943,,,,GPS-Unspecified,NAD83,,,,,,,US,37,001,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-B2450000,Robeson Crk at Boat Access Off SR 1943 near Hanks Chapel,River/Stream,,03030002,,,,,35.70315,-79.10027,,,,GPS-Unspecified,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-B3020000,New Hope Creek at NC 54 near Durham,River/Stream,,03030002,,,,,35.9167,-78.9704,,,,GPS-Unspecified,NAD83,,,,,,,US,37,063,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-B3025000,Third Fork Crk at NC 54 near Durham,River/Stream,,03030002,,,,,35.9187,-78.9548,,,,GPS-Unspecified,NAD83,,,,,,,US,37,063,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-B3040000,New Hope Crk at SR 1107 Stagecoach Rd near Blands,River/Stream,,03030002,,,,,35.8847,-78.9656,,,,GPS-Unspecified,NAD83,,,,,,,US,37,063,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-B3300000,Northeast Crk at SR 1102 Sedwick Road near RTP,River/Stream,,03030002,,,,,35.88702,-78.89943,,,,GPS-Unspecified,NAD83,,,,,,,US,37,063,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-B3670000,Northeast Crk at SR 1731 O Kelly Church Road near Durham,River/Stream,,03030002,,,,,35.8555,-78.9397,,,,GPS-Unspecified,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-B3899180,Morgan Crk at Mason Farm WWTP Entrance at Chapel Hill,River/Stream,,03030002,,,,,35.8987,-79.0263,,,,GPS-Unspecified,NAD83,,,,,,,US,37,135,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-B3900000,Morgan Crk at SR 1726 Old Farrington Rd near Farrington,River/Stream,,03030002,,,,,35.8612,-79.01,,,,GPS-Unspecified,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-B4080000,Haw Riv at SR 1011 Old US 1 near Haywood,River/Stream,,03030002,,,,,35.6164,-79.0569,,,,GPS-Unspecified,NAD83,,,,,,,US,37,037,,,,,,,,,STORET
